Phase,Fraction,Guess for r
0.80859375,17/21,21
0.689453125,11/16,16
0.0576171875,1/17,17
0.103515625,2/19,19
0.41796875,5/12,12
0.62109375,13/21,21
0.513671875,11/21,21
0.982421875,1/1,1
0.0146484375,0/1,1
0.25,1/4,4
0.564453125,9/16,16
0.96875,20/21,21
0.072265625,1/14,14
0.4404296875,7/16,16
0.30078125,3/10,10
0.7451171875,3/4,4
0.0087890625,0/1,1
0.662109375,2/3,3
0.802734375,4/5,5
0.0830078125,1/12,12
0.140625,1/7,7
0.6982421875,7/10,10
0.228515625,3/13,13
0.09765625,1/10,10
0.666015625,2/3,3
0.6279296875,5/8,8
0.7265625,8/11,11
0.265625,4/15,15
0.0888671875,1/11,11
0.0009765625,0/1,1
0.2509765625,1/4,4
0.6904296875,9/13,13
0.517578125,11/21,21
0.4619140625,6/13,13
0.619140625,13/21,21
0.1640625,1/6,6
0.0947265625,2/21,21
0.7392578125,14/19,19
0.82421875,14/17,17
0.888671875,8/9,9
0.5732421875,4/7,7
0.1357421875,2/15,15
0.0986328125,1/10,10
0.357421875,5/14,14
0.3515625,6/17,17
0.5048828125,1/2,2
0.0703125,1/14,14
0.2109375,4/19,19
0.6787109375,13/19,19
0.244140625,1/4,4
0.478515625,10/21,21
0.0615234375,1/16,16
0.6435546875,9/14,14
0.859375,6/7,7
0.548828125,11/20,20
0.552734375,11/20,20
0.248046875,1/4,4
0.68359375,13/19,19
0.5537109375,5/9,9
0.76171875,16/21,21
0.5390625,7/13,13
0.5263671875,10/19,19
0.1982421875,1/5,5
0.654296875,13/20,20
0.0380859375,1/21,21
0.3974609375,2/5,5
0.111328125,1/9,9
0.7900390625,15/19,19
0.05859375,1/17,17
0.9169921875,11/12,12
0.4013671875,2/5,5
0.6513671875,13/20,20
0.390625,7/18,18
0.0810546875,1/12,12
0.7578125,16/21,21
0.2578125,5/19,19
0.947265625,18/19,19
0.6875,11/16,16
0.400390625,2/5,5
0.578125,11/19,19
0.9248046875,12/13,13
0.4609375,6/13,13
0.2265625,3/13,13
0.990234375,1/1,1
0.634765625,7/11,11
0.15625,3/19,19
0.8623046875,13/15,15
0.5078125,1/2,2
0.7236328125,13/18,18
0.6591796875,2/3,3
0.3857421875,5/13,13
0.4521484375,9/20,20
0.0859375,1/12,12
0.384765625,5/13,13
0.4248046875,8/19,19
0.8828125,15/17,17
0.091796875,1/11,11
0.283203125,2/7,7
0.0068359375,0/1,1
0.919921875,12/13,13
0.408203125,7/17,17
0.3740234375,3/8,8
0.251953125,1/4,4
0.6748046875,2/3,3
0.7509765625,3/4,4
0.1806640625,2/11,11
0.0634765625,1/16,16
0.1484375,3/20,20
0.3994140625,2/5,5
0.46484375,7/15,15
0.0908203125,1/11,11
0.55859375,5/9,9
0.302734375,3/10,10
0.306640625,4/13,13
0.646484375,11/17,17
0.943359375,17/18,18
0.0263671875,1/21,21
0.7099609375,12/17,17
0.494140625,1/2,2
0.0361328125,1/21,21
0.4169921875,5/12,12
0.0791015625,1/13,13
0.9609375,20/21,21
0.234375,4/17,17
0.55078125,11/20,20
0.01171875,0/1,1
0.5986328125,3/5,5
0.9189453125,11/12,12
0.326171875,1/3,3
0.1884765625,3/16,16
0.17578125,3/17,17
0.84765625,11/13,13
0.203125,1/5,5
0.953125,20/21,21
0.416015625,5/12,12
0.0517578125,1/19,19
0.78125,7/9,9
0.94140625,16/17,17
0.3017578125,3/10,10
0.0107421875,0/1,1
0.1962890625,1/5,5
0.876953125,7/8,8
0.69921875,7/10,10
0.412109375,7/17,17
0.328125,1/3,3
0.5634765625,9/16,16
0.3720703125,3/8,8
0.36328125,4/11,11
0.6376953125,7/11,11
0.8046875,4/5,5
0.2451171875,1/4,4
0.6845703125,13/19,19
0.4140625,7/17,17
0.994140625,1/1,1
0.6337890625,12/19,19
0.6826171875,13/19,19
0.4599609375,6/13,13
0.263671875,5/19,19
0.4658203125,7/15,15
0.45703125,5/11,11
0.025390625,1/21,21
0.123046875,1/8,8
0.912109375,10/11,11
0.71875,13/18,18
0.52734375,10/19,19
0.9931640625,1/1,1
0.2734375,3/11,11
0.15234375,2/13,13
0.556640625,5/9,9
0.2587890625,5/19,19
0.458984375,6/13,13
0.021484375,0/1,1
0.0439453125,1/21,21
0.5703125,4/7,7
0.0390625,1/21,21
0.2080078125,4/19,19
0.9384765625,15/16,16
0.3115234375,5/16,16
0.978515625,1/1,1
0.65234375,13/20,20
0.298828125,3/10,10
0.474609375,9/19,19
0.8154296875,9/11,11
0.4736328125,9/19,19
0.2900390625,5/17,17
0.8515625,17/20,20
0.486328125,10/21,21
0.6806640625,13/19,19
0.4775390625,10/21,21
0.54296875,6/11,11
0.07421875,1/13,13
0.314453125,6/19,19
0.01953125,0/1,1
0.4638671875,6/13,13
0.525390625,10/19,19
0.087890625,1/11,11
0.033203125,1/21,21
0.955078125,20/21,21
0.3935546875,7/18,18
0.580078125,11/19,19
0.337890625,1/3,3
