Phase,Fraction,Guess for r
0.5,1/2,2
0.0,0/1,1
0.1669921875,1/6,6
0.673828125,2/3,3
0.833984375,5/6,6
0.33203125,1/3,3
0.333984375,1/3,3
0.8330078125,5/6,6
0.666015625,2/3,3
0.6669921875,2/3,3
0.3330078125,1/3,3
0.3359375,1/3,3
0.1640625,1/6,6
0.166015625,1/6,6
0.6640625,2/3,3
0.83203125,5/6,6
0.669921875,2/3,3
0.3349609375,1/3,3
0.8349609375,5/6,6
0.1708984375,1/6,6
0.66796875,2/3,3
0.1650390625,1/6,6
0.822265625,14/17,17
0.16796875,1/6,6
0.6748046875,2/3,3
0.830078125,5/6,6
0.1513671875,3/20,20
0.8359375,5/6,6
0.685546875,13/19,19
0.3173828125,6/19,19
0.3310546875,1/3,3
0.8310546875,5/6,6
0.1689453125,1/6,6
0.6650390625,2/3,3
0.169921875,1/6,6
0.3369140625,1/3,3
0.6552734375,13/20,20
0.162109375,3/19,19
0.16015625,3/19,19
0.6767578125,13/19,19
0.642578125,9/14,14
0.6103515625,11/18,18
0.6611328125,2/3,3
0.1728515625,3/17,17
0.1806640625,2/11,11
