Phase,Fraction,Guess for r
0.0,0/1,1
0.166015625,1/6,6
0.5,1/2,2
0.6669921875,2/3,3
0.1669921875,1/6,6
0.333984375,1/3,3
0.7080078125,12/17,17
0.3330078125,1/3,3
0.8330078125,5/6,6
0.3310546875,1/3,3
0.326171875,1/3,3
0.833984375,5/6,6
0.662109375,2/3,3
0.666015625,2/3,3
0.83203125,5/6,6
0.1796875,2/11,11
0.171875,3/17,17
0.330078125,1/3,3
0.3349609375,1/3,3
0.8251953125,14/17,17
0.33203125,1/3,3
0.1650390625,1/6,6
0.16796875,1/6,6
0.8310546875,5/6,6
0.65234375,13/20,20
0.1640625,1/6,6
0.328125,1/3,3
0.66796875,2/3,3
0.70703125,12/17,17
0.6689453125,2/3,3
0.8349609375,5/6,6
0.8359375,5/6,6
0.6640625,2/3,3
0.6787109375,13/19,19
0.3291015625,1/3,3
0.3486328125,7/20,20
0.158203125,3/19,19
0.1630859375,1/6,6
0.3369140625,1/3,3
0.1689453125,1/6,6
0.3359375,1/3,3
0.357421875,5/14,14
0.162109375,3/19,19
0.8291015625,5/6,6
0.5283203125,9/17,17
0.830078125,5/6,6
0.33984375,1/3,3
0.3251953125,1/3,3
0.8876953125,8/9,9
0.6650390625,2/3,3
0.798828125,4/5,5
0.16015625,3/19,19
0.64453125,9/14,14
0.6826171875,13/19,19
0.1435546875,1/7,7
0.671875,2/3,3
